Arquitectura Multimodal,Ventana,F1_Macro,AUC,Recall_Estres
ResNet + Wav2Vec + BERT,32f / 11s / 64t,0.736,0.8224,0.83
ResNet + MFCCs + BERT,32f / 11s / 64t,0.7285,0.8036,0.7346
ViT + Wav2Vec + BERT,32f / 11s / 64t,0.7198,0.8023,0.7455
ResNet + Wav2Vec + RoBERTa,32f / 11s / 64t,0.7137,0.8018,0.7724
EfficientNet + Wav2Vec + BERT,32f / 11s / 64t,0.7134,0.7853,0.673
ViT + MFCCs + RoBERTa,32f / 11s / 64t,0.7127,0.8099,0.7793
ViT + MFCCs + BERT,32f / 11s / 64t,0.7124,0.7944,0.7565
ResNet + MFCCs + RoBERTa,32f / 11s / 64t,0.7107,0.7981,0.7416
EfficientNet + Wav2Vec + RoBERTa,32f / 11s / 64t,0.7009,0.7959,0.7604
EfficientNet + MFCCs + BERT,32f / 11s / 64t,0.6988,0.7717,0.6103
EfficientNet + MFCCs + RoBERTa,32f / 11s / 64t,0.6927,0.7871,0.7167
ViT + Wav2Vec + RoBERTa,32f / 11s / 64t,0.6868,0.7707,0.6859
ResNet + Wav2Vec + DeBERTa,32f / 11s / 64t,0.6678,0.7336,0.7992
ResNet + MFCCs + DeBERTa,32f / 11s / 64t,0.6663,0.7147,0.7097
EfficientNet + MFCCs + DeBERTa,32f / 11s / 64t,0.6418,0.6983,0.8012
EfficientNet + Wav2Vec + DeBERTa,32f / 11s / 64t,0.6381,0.689,0.7107
ViT + Wav2Vec + DeBERTa,32f / 11s / 64t,0.6346,0.7158,0.836
ViT + MFCCs + DeBERTa,32f / 11s / 64t,0.6312,0.7058,0.8141
